timestamp,day_of_week,hour,zone,tag_id,metric,value,classification,alert,pipeline_latency_ms,packet_transmitted,battery_co2_saved_g,ambient_co2_overhead_g
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-A,a3b1799d0cce,temperature_c,,NO_TRANSMISSION,False,,0,0.0,0.0
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-A,bdd640fb7d62,temperature_c,,NO_TRANSMISSION,False,,0,0.0,0.0
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-A,392456de347a,temperature_c,,NO_TRANSMISSION,False,,0,0.0,0.0
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-A,6c0311990f41,temperature_c,,NO_TRANSMISSION,False,,0,0.0,0.0
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-A,17fc695a771f,temperature_c,,NO_TRANSMISSION,False,,0,0.0,0.0
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-B,8b8148f670dd,temperature_c,,NO_TRANSMISSION,False,,0,0.0,0.0
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-B,de8a774b51be,temperature_c,,NO_TRANSMISSION,False,,0,0.0,0.0
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-B,b2b9437aae35,temperature_c,18.35,NORMAL,False,0.543,1,0.48,0.02
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-B,472293896e3d,temperature_c,,NO_TRANSMISSION,False,,0,0.48,0.02
2026-08-01T00:00:00+00:00,Saturday,0,greenhouse-B,562b0f792f7c,temperature_c,,NO_TRANSMISSION,False,,0,0.48,0.02
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-A,a3b1799d0cce,temperature_c,,NO_TRANSMISSION,False,,0,0.48,0.02
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-A,bdd640fb7d62,rssi_dbm,-55.1,NORMAL,False,0.358,1,0.96,0.04
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-A,392456de347a,temperature_c,,NO_TRANSMISSION,False,,0,0.96,0.04
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-A,6c0311990f41,temperature_c,,NO_TRANSMISSION,False,,0,0.96,0.04
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-A,17fc695a771f,temperature_c,16.13,NORMAL,False,0.521,1,1.44,0.06
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-B,8b8148f670dd,temperature_c,18.17,NORMAL,False,0.269,1,1.92,0.08
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-B,de8a774b51be,temperature_c,,NO_TRANSMISSION,False,,0,1.92,0.08
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-B,b2b9437aae35,temperature_c,,NO_TRANSMISSION,False,,0,1.92,0.08
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-B,472293896e3d,temperature_c,18.57,NORMAL,False,0.484,1,2.4,0.1
2026-08-01T00:05:00+00:00,Saturday,0,greenhouse-B,562b0f792f7c,temperature_c,,NO_TRANSMISSION,False,,0,2.4,0.1
2026-08-01T00:10:00+00:00,Saturday,0,greenhouse-A,a3b1799d0cce,rssi_dbm,-58.5,NORMAL,False,0.406,1,2.88,0.12
2026-08-01T00:10:00+00:00,Saturday,0,greenhouse-A,bdd640fb7d62,temperature_c,,NO_TRANSMISSION,False,,0,2.88,0.12
2026-08-01T00:10:00+00:00,Saturday,0,greenhouse-A,392456de347a,temperature_c,15.67,NORMAL,False,0.381,1,3.36,0.14
2026-08-01T00:10:00+00:00,Saturday,0,greenhouse-A,6c0311990f41,temperature_c,,NO_TRANSMISSION,False,,0,3.36,0.14
2026-08-01T00:10:00+00:00,Saturday,0,greenhouse-A,17fc695a771f,temperature_c,,NO_TRANSMISSION,False,,0,3.36,0.14
2026-08-01T00:10:00+00:00,Saturday,0,greenhouse-B,8b8148f670dd,temperature_c,18.49,NORMAL,False,0.253,1,3.84,0.16
